2026-06-22T20:53:14 | blinks=10 | temp=43.9°C
2026-06-22T20:53:24 | blinks=20 | temp=44.4°C
2026-06-22T20:53:34 | blinks=30 | temp=45.0°C
2026-06-22T20:53:44 | blinks=40 | temp=43.9°C
2026-06-22T20:53:54 | blinks=50 | temp=43.9°C
2026-06-22T20:57:31 | blinks=10 | temp=45.0°C
2026-06-22T20:57:41 | blinks=20 | temp=43.9°C
2026-06-22T20:57:51 | blinks=30 | temp=45.5°C
2026-06-22T20:58:01 | blinks=40 | temp=44.4°C
2026-06-22T20:58:11 | blinks=50 | temp=44.4°C
2026-06-22T20:58:21 | blinks=60 | temp=45.5°C
2026-06-22T20:58:31 | blinks=70 | temp=45.0°C
2026-06-22T20:58:41 | blinks=80 | temp=45.0°C
2026-06-22T20:58:51 | blinks=90 | temp=45.5°C
2026-06-22T20:59:01 | blinks=100 | temp=45.5°C
2026-06-22T20:59:11 | blinks=110 | temp=45.0°C
2026-06-22T20:59:21 | blinks=120 | temp=45.5°C
2026-06-22T20:59:31 | blinks=130 | temp=45.0°C
2026-06-22T20:59:41 | blinks=140 | temp=45.5°C
2026-06-22T21:00:06 | blinks=10 | temp=45.5°C
2026-06-22T21:00:16 | blinks=20 | temp=46.1°C
2026-06-22T21:00:26 | blinks=30 | temp=46.1°C
2026-06-22T21:00:36 | blinks=40 | temp=46.1°C
2026-06-22T21:00:46 | blinks=50 | temp=45.5°C
2026-06-22T21:00:56 | blinks=60 | temp=45.0°C
2026-06-22T21:01:31 | blinks=10 | temp=47.7°C
2026-06-22T21:01:41 | blinks=20 | temp=47.7°C
2026-06-22T21:01:51 | blinks=30 | temp=47.7°C
2026-06-22T21:02:01 | blinks=40 | temp=48.3°C
